time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/clip_fraction,train/value_loss,train/clip_range
1,1141,1,8.5765008,2048,8.86,,,,,,,,,,,
2,946,4,8.23889477,4096,9.17,10,0.00085963035,-0.00676092579960823,-15.608772277832031,0.0001,-0.020908832550048828,1.0000903606414795,19.80611228942871,0.0046875,40.64070854187012,0.1
3,896,6,8.204029069999997,6144,8.93,20,0.0004616439,-0.0036192294443026184,-15.609282493591309,0.0001,-0.0049533843994140625,1.0000673532485962,26.760282516479492,0.0005859375,54.45785217285156,0.1
4,872,9,8.3701908,8192,8.76,30,0.00042605906,-0.003623434528708458,-15.60909070968628,0.0001,0.013015985488891602,1.000095248222351,21.397680282592773,0.000341796875,43.653771209716794,0.1
5,858,11,7.855452139999999,10240,8.72,40,0.0005391822,-0.004204381164163351,-15.610858058929443,0.0001,0.021002233028411865,1.0004804134368896,16.86598014831543,0.00068359375,34.51566696166992,0.1
6,849,14,9.12142815,12288,8.77,50,0.000568117,-0.003742290916852653,-15.615755558013916,0.0001,0.03945159912109375,1.0008913278579712,16.027414321899414,0.001318359375,32.81955757141113,0.1
7,843,16,6.87657554,14336,9.51,60,0.0005378233,-0.003640634287148714,-15.61960744857788,0.0001,0.03345370292663574,1.001175045967102,22.96302604675293,0.001123046875,46.692914199829104,0.1
8,839,19,7.732710119999999,16384,8.25,70,0.00055781205,-0.004227830097079277,-15.623724365234375,0.0001,0.04956144094467163,1.0017534494400024,15.695449829101562,0.001953125,32.04008140563965,0.1
9,835,22,6.202524520000001,18432,8.1,80,0.0006067949,-0.0037863261299207807,-15.6308123588562,0.0001,0.05342686176300049,1.0023959875106812,15.873404502868652,0.00146484375,32.38294677734375,0.1
10,833,24,8.90591658,20480,8.56,90,0.0006347529,-0.0038991911103948953,-15.636864757537841,0.0001,0.057908833026885986,1.0028012990951538,13.818857192993164,0.001513671875,28.220392608642577,0.1
11,831,27,7.86055716,22528,8.69,100,0.0005954413,-0.003896339749917388,-15.640475463867187,0.0001,0.036764323711395264,1.0030841827392578,16.41609764099121,0.001611328125,33.43530158996582,0.1
12,827,29,7.71049485,24576,10.27,110,0.00044458386,-0.0031195653602480887,-15.643943119049073,0.0001,0.019593656063079834,1.0034832954406738,22.964120864868164,0.00068359375,46.58768272399902,0.1
13,825,32,8.721832560000001,26624,8.86,120,0.00038737466,-0.003356262343004346,-15.64839210510254,0.0001,0.020228266716003418,1.0038268566131592,19.32343864440918,0.0005859375,39.27775650024414,0.1
14,822,34,6.90655766,28672,8.31,130,0.00057778874,-0.0044396543642506005,-15.650809288024902,0.0001,0.04639202356338501,1.0038785934448242,15.082683563232422,0.001513671875,30.769805908203125,0.1
15,820,37,7.8784165700000015,30720,9.39,140,0.00052012794,-0.002891150000505149,-15.650991916656494,0.0001,-0.0023947954177856445,1.0039364099502563,20.13728141784668,0.001025390625,40.88688011169434,0.1
16,819,39,7.485611579999999,32768,8.17,150,0.00044856194,-0.0033223752281628547,-15.652031230926514,0.0001,0.012160897254943848,1.0040394067764282,17.611787796020508,0.000732421875,35.8159481048584,0.1
17,818,42,6.76332357,34816,8.54,160,0.00065722864,-0.004627213254570961,-15.652629089355468,0.0001,0.06096172332763672,1.0040085315704346,13.375219345092773,0.00224609375,27.316613006591798,0.1
